TeamID,Nombre del Equipo,Rango,uId,Nombre del Jugador,Salud,Número de Bajas,Daño,Máxima Distancia de Baja,Asistencias,Noqueos,Número de Headshots,Daño Recibido,Curación,Tiempo de Supervivencia,Tiempo Fuera del Círculo Azul,Daño Total por Veneno,Bajas en Vehículo,Bajas con Granada,Distancia Conducida,Distancia Recorrida,Rescates,Granadas de Humo Usadas,Granadas Fragmentación Usadas,Granadas Incendiarias Usadas,Eliminaciones Molotov,Granadas Cegadoras Usadas,Suministros Obtenidos,Daño Total por Equipo,HeadHits,BodyHits,HandHits,FootHits,LimbsHits,WeaponIDs,WeaponNames,WeaponDamage,WeaponKills,ShotsByWeapon,HitsByWeapon,TotalShots,TotalHits,Accuracy(%),Primera Eliminación,GameID,GameStartTime,FightingStartTime,FinishedStartTime,ExportedAt
25,SM ESPORTS,1,5316978748,sMxChoreBoT,100,4,275,186,2,1,0,0,165,22m 8s,3m 42s,157,0,1,6723,2292,1,1,3,0,0,0,0,1705,1,3,2,0,5,"101004,102002,104003,101006,104002,106011","M416,UMP45,S12K,AUG A3,S1897,Dual MP7",M416:245.2 / UMP45:0.0 / S12K:0.0 / AUG A3:0.0 / S1897:0.0 / Dual MP7:0.0,M416:3 / UMP45:0 / S12K:0 / AUG A3:0 / S1897:0 / Dual MP7:0,M416:251 / UMP45:22 / S12K:0 / AUG A3:0 / S1897:0 / Dual MP7:0,M416:11 / UMP45:0 / S12K:0 / AUG A3:0 / S1897:0 / Dual MP7:0,273,11,4.03,,2379307503181047210,1773112372 (2026-03-09 21:12:52),1773112399 (2026-03-09 21:13:19),1773113730 (2026-03-09 21:35:30),1773113744 (2026-03-09 21:35:44)
25,SM ESPORTS,1,696584935,sMxChoreBoTz,82,3,472,190,1,3,0,288,329,22m 8s,2m 45s,109,0,0,6920,2358,0,0,5,2,0,0,0,1705,0,11,0,1,7,"101004,101007,104003","M416,QBZ,S12K",M416:236.1 / QBZ:142.0 / S12K:0.0,M416:1 / QBZ:1 / S12K:0,M416:243 / QBZ:27 / S12K:0,M416:13 / QBZ:6 / S12K:0,270,19,7.04,,,,,,
25,SM ESPORTS,1,51764186951,sMxFNTXY66,100,4,430,186,1,4,0,175,318,22m 8s,3m 30s,141,0,0,8011,2066,2,4,1,2,1,0,0,1705,3,10,0,0,4,"101006,105002,102002,106002","AUG A3,DP-28,UMP45,P1911",AUG A3:428.5 / DP-28:32.3 / UMP45:0.0 / P1911:0.0,AUG A3:2 / DP-28:1 / UMP45:0 / P1911:0,AUG A3:231 / DP-28:25 / UMP45:0 / P1911:0,AUG A3:16 / DP-28:1 / UMP45:0 / P1911:0,256,17,6.64,,,,,,
25,SM ESPORTS,1,5927951412,sMxCATINHO,100,2,528,113,4,2,1,267,234,22m 1s,3m 0s,118,0,0,6529,1929,0,0,0,0,0,0,2,1705,3,11,1,0,3,"101004,103012,102001,102002,103006","M416,AMR,UZI,UMP45,Mini14",M416:246.8 / AMR:403.9 / UZI:89.6 / UMP45:0.0 / Mini14:0.0,M416:1 / AMR:1 / UZI:0 / UMP45:0 / Mini14:0,M416:77 / AMR:6 / UZI:39 / UMP45:0 / Mini14:0,M416:11 / AMR:2 / UZI:5 / UMP45:0 / Mini14:0,122,18,14.75,,,,,,
21,14K E-SPORTS,2,5109401945,JaibaPower,0,4,745,125,2,4,1,185,257,22m 8s,1m 28s,152,0,0,3600,2510,1,4,0,0,0,0,0,1369,3,35,3,0,3,"101004,104003","M416,S12K",M416:635.5 / S12K:217.7,M416:2 / S12K:2,M416:187 / S12K:17,M416:27 / S12K:17,204,44,21.57,,,,,,
21,14K E-SPORTS,2,5710190706,tioHANɞ,0,1,193,13,1,1,0,258,233,22m 8s,1m 30s,74,0,0,7809,2442,2,2,1,0,0,0,0,1369,2,2,2,3,0,"101004,102002","M416,UMP45",M416:16.0 / UMP45:193.5,M416:0 / UMP45:1,M416:137 / UMP45:69,M416:1 / UMP45:8,206,9,4.37,,,,,,
21,14K E-SPORTS,2,51793495686,skyyDIEGO24,0,2,277,12,2,2,0,222,221,22m 7s,0m 35s,160,0,0,7484,2452,0,1,0,0,0,0,0,1369,2,10,1,1,4,"101006,104003,105001","AUG A3,S12K,M249",AUG A3:179.2 / S12K:106.0 / M249:0.0,AUG A3:0 / S12K:2 / M249:0,AUG A3:152 / S12K:11 / M249:0,AUG A3:7 / S12K:11 / M249:0,163,18,11.04,,,,,,
21,14K E-SPORTS,2,51492521375,Faustoū,0,1,154,270,1,0,0,293,221,21m 44s,0m 40s,84,0,0,6084,1861,0,0,0,0,0,0,0,1369,1,4,0,0,0,"105001,103004","M249,SKS",M249:0.0 / SKS:198.6,M249:0 / SKS:1,M249:21 / SKS:73,M249:0 / SKS:5,94,5,5.32,,,,,,
13,INFINIX GREEK ALPHA,3,51371247376,IFXWINIEPOOHU,0,1,571,10,3,1,0,93,215,21m 48s,0m 23s,222,0,0,4684,2695,1,0,2,0,0,0,0,1862,3,16,1,0,5,"101004,105010,104004,102002,103008","M416,MG3,DBS,UMP45,Win94",M416:443.9 / MG3:151.1 / DBS:21.6 / UMP45:0.0 / Win94:0.0,M416:0 / MG3:0 / DBS:1 / UMP45:0 / Win94:0,M416:261 / MG3:43 / DBS:2 / UMP45:0 / Win94:0,M416:18 / MG3:5 / DBS:2 / UMP45:0 / Win94:0,306,25,8.17,,,,,,
13,INFINIX GREEK ALPHA,3,51313248078,IFXsmoke,0,5,580,53,0,6,0,292,172,21m 41s,0m 12s,112,0,2,5691,2302,0,3,4,1,0,0,0,1862,6,9,1,0,6,"102002,101004,101003,103004,102001","UMP45,M416,SCAR-L,SKS,UZI",UMP45:253.2 / M416:344.4 / SCAR-L:0.0 / SKS:0.0 / UZI:0.0,UMP45:2 / M416:1 / SCAR-L:0 / SKS:0 / UZI:0,UMP45:66 / M416:170 / SCAR-L:0 / SKS:0 / UZI:0,UMP45:9 / M416:13 / SCAR-L:0 / SKS:0 / UZI:0,236,22,9.32,,,,,,
13,INFINIX GREEK ALPHA,3,5422424990,IFXmufasaRB,0,2,634,162,4,2,0,315,170,21m 2s,0m 12s,46,0,1,6848,1912,1,0,5,1,0,0,0,1862,6,17,1,0,3,"101006,101003,104002,104004","AUG A3,SCAR-L,S1897,DBS",AUG A3:319.8 / SCAR-L:40.1 / S1897:58.9 / DBS:101.4,AUG A3:1 / SCAR-L:0 / S1897:0 / DBS:0,AUG A3:95 / SCAR-L:69 / S1897:5 / DBS:8,AUG A3:13 / SCAR-L:1 / S1897:5 / DBS:8,177,27,15.25,,,,,,
13,INFINIX GREEK ALPHA,3,52012517506,N么SDELACHzs,0,0,77,0,0,0,0,162,0,13m 9s,0m 0s,0,0,0,4225,1113,0,3,0,0,0,0,0,1862,1,1,0,0,0,"102001,106002,101101,103006,104001,104002","UZI,P1911,ASM Abakan,Mini14,S686,S1897",UZI:0.0 / P1911:0.0 / ASM Abakan:77.0 / Mini14:0.0 / S686:0.0 / S1897:0.0,UZI:0 / P1911:0 / ASM Abakan:0 / Mini14:0 / S686:0 / S1897:0,UZI:0 / P1911:4 / ASM Abakan:33 / Mini14:0 / S686:0 / S1897:0,UZI:0 / P1911:0 / ASM Abakan:2 / Mini14:0 / S686:0 / S1897:0,37,2,5.41,,,,,,
4,SWEET MADNESS,4,5112132059,sMvZeus,0,2,709,140,2,3,0,355,368,20m 14s,1m 41s,161,0,0,5734,1631,0,1,0,0,0,0,0,1492,5,17,1,4,8,"101004,104004,104003","M416,DBS,S12K",M416:679.2 / DBS:62.1 / S12K:0.0,M416:2 / DBS:0 / S12K:0,M416:273 / DBS:8 / S12K:0,M416:29 / DBS:6 / S12K:0,281,35,12.46,,,,,,
4,SWEET MADNESS,4,5197890636,sMvLokiDeus7k,0,3,164,23,1,0,1,311,294,19m 50s,1m 47s,174,0,0,3905,1959,0,5,1,0,0,0,0,1492,2,7,1,3,2,"104003,101003,102002,101006,106001","S12K,SCAR-L,UMP45,AUG A3,P92",S12K:147.0 / SCAR-L:25.7 / UMP45:0.0 / AUG A3:0.0 / P92:0.0,S12K:3 / SCAR-L:0 / UMP45:0 / AUG A3:0 / P92:0,S12K:24 / SCAR-L:73 / UMP45:25 / AUG A3:7 / P92:0,S12K:14 / SCAR-L:1 / UMP45:0 / AUG A3:0 / P92:0,129,15,11.63,,,,,,
4,SWEET MADNESS,4,5389929087,sMvGinseng,0,3,452,290,1,4,0,293,262,19m 24s,1m 41s,167,0,0,6325,2086,2,1,0,2,0,0,0,1492,4,19,0,1,5,"101004,104003,102001","M416,S12K,UZI",M416:346.2 / S12K:88.3 / UZI:115.9,M416:1 / S12K:0 / UZI:2,M416:74 / S12K:9 / UZI:76,M416:13 / S12K:9 / UZI:7,159,29,18.24,,,,,,
4,SWEET MADNESS,4,5372281411,sMvAngelu,0,0,167,0,1,1,0,180,166,19m 18s,1m 52s,172,0,0,3390,2220,1,2,1,0,0,0,0,1492,2,2,1,0,2,"102002,105001,101007,101004","UMP45,M249,QBZ,M416",UMP45:121.6 / M249:39.9 / QBZ:54.8 / M416:0.0,UMP45:0 / M249:0 / QBZ:0 / M416:0,UMP45:97 / M249:20 / QBZ:65 / M416:9,UMP45:3 / M249:1 / QBZ:3 / M416:0,191,7,3.66,,,,,,
24,WCP,5,5159147027,wcpNock13,0,1,388,179,0,1,0,100,38,20m 10s,1m 4s,38,0,0,7264,1977,0,1,0,0,0,0,0,586,2,6,0,1,4,"103006,102002,101001,103004","Mini14,UMP45,AKM,SKS",Mini14:351.5 / UMP45:0.0 / AKM:62.6 / SKS:0.0,Mini14:1 / UMP45:0 / AKM:0 / SKS:0,Mini14:91 / UMP45:0 / AKM:91 / SKS:0,Mini14:12 / UMP45:0 / AKM:1 / SKS:0,182,13,7.14,,,,,,
24,WCP,5,5147426304,wcpBarbosa,0,0,122,0,0,1,0,309,173,16m 45s,0m 8s,12,0,0,4236,1584,0,0,0,1,0,0,0,586,1,1,0,0,4,"101003,103006,102002,101006","SCAR-L,Mini14,UMP45,AUG A3",SCAR-L:89.1 / Mini14:66.2 / UMP45:0.0 / AUG A3:0.0,SCAR-L:0 / Mini14:0 / UMP45:0 / AUG A3:0,SCAR-L:89 / Mini14:27 / UMP45:0 / AUG A3:0,SCAR-L:3 / Mini14:3 / UMP45:0 / AUG A3:0,116,6,5.17,,,,,,
24,WCP,5,510439165,i7opūROBBIE,0,0,76,0,0,0,0,220,59,15m 40s,0m 37s,35,0,0,4341,1625,1,0,0,0,0,0,0,586,1,1,0,0,0,"101003,102002","SCAR-L,UMP45",SCAR-L:75.7 / UMP45:0.0,SCAR-L:0 / UMP45:0,SCAR-L:74 / UMP45:13,SCAR-L:2 / UMP45:0,87,2,2.30,,,,,,
24,WCP,5,52340455690,wcpJC,0,0,0,0,0,0,0,198,86,12m 47s,1m 26s,47,0,0,3809,1098,0,0,0,0,0,0,0,586,0,0,0,0,0,"101003,102002,102001","SCAR-L,UMP45,UZI",SCAR-L:0.0 / UMP45:0.0 / UZI:0.0,SCAR-L:0 / UMP45:0 / UZI:0,SCAR-L:30 / UMP45:0 / UZI:0,SCAR-L:0 / UMP45:0 / UZI:0,30,0,0.00,,,,,,
16,FIRESTORM,6,5851737812,FsGonzalezz77K,0,1,502,1,2,2,0,252,224,19m 38s,2m 1s,72,0,0,5899,2528,0,0,1,0,0,0,0,952,4,8,0,0,4,"101004,102002,103006,102004","M416,UMP45,Mini14,Thompson SMG",M416:140.3 / UMP45:216.3 / Mini14:125.2 / Thompson SMG:69.3,M416:0 / UMP45:1 / Mini14:0 / Thompson SMG:0,M416:32 / UMP45:21 / Mini14:24 / Thompson SMG:42,M416:5 / UMP45:6 / Mini14:3 / Thompson SMG:2,119,16,13.45,FsGonzalezz77K (5851737812),,,,,
16,FIRESTORM,6,5901649263,FsLeo,0,2,96,15,0,1,1,205,37,18m 25s,0m 16s,8,0,0,5575,1501,0,0,0,0,0,0,0,952,1,1,0,0,0,"101003,101002,101102,101001","SCAR-L,M16A4,ACE32,AKM",SCAR-L:0.0 / M16A4:0.0 / ACE32:0.0 / AKM:118.1,SCAR-L:0 / M16A4:0 / ACE32:0 / AKM:2,SCAR-L:43 / M16A4:0 / ACE32:0 / AKM:51,SCAR-L:0 / M16A4:0 / ACE32:0 / AKM:2,94,2,2.13,,,,,,
16,FIRESTORM,6,5297007206,FsPolaar,0,1,239,22,1,1,0,151,0,3m 50s,0m 0s,0,0,0,0,377,0,0,0,0,0,0,0,952,0,5,0,0,4,"101007,105002","QBZ,DP-28",QBZ:202.6 / DP-28:47.1,QBZ:0 / DP-28:1,QBZ:44 / DP-28:6,QBZ:8 / DP-28:1,50,9,18.00,,,,,,
16,FIRESTORM,6,5416109233,FsFigueroa77K,0,1,115,59,1,1,0,197,0,3m 34s,0m 0s,0,0,0,271,342,0,0,0,0,0,0,0,952,0,2,0,1,1,102002,UMP45,UMP45:122.3,UMP45:1,UMP45:46,UMP45:4,46,4,8.70,,,,,,
6,ČASTLEĞHOST,7,514802535,ČĞ乄Azteck,0,0,48,0,0,0,0,206,106,19m 37s,0m 0s,0,0,0,5713,1495,0,0,0,0,0,0,0,68,0,1,0,0,1,"101008,103006,103100","M762,Mini14,MK12",M762:0.0 / Mini14:0.0 / MK12:47.2,M762:0 / Mini14:0 / MK12:0,M762:0 / Mini14:0 / MK12:28,M762:0 / Mini14:0 / MK12:2,28,2,7.14,,,,,,
6,ČASTLEĞHOST,7,5133966325,CG乄SirenoMan,0,0,20,0,0,0,0,94,4,9m 29s,0m 17s,9,0,0,1407,896,0,0,0,0,0,0,0,68,0,1,0,0,0,"102001,102002,101002","UZI,UMP45,M16A4",UZI:0.0 / UMP45:19.1 / M16A4:0.0,UZI:0 / UMP45:0 / M16A4:0,UZI:3 / UMP45:25 / M16A4:0,UZI:0 / UMP45:1 / M16A4:0,28,1,3.57,,,,,,
6,ČASTLEĞHOST,7,555845463,ČĞ乄Share77K,0,0,0,0,0,0,0,104,14,9m 14s,0m 17s,9,0,0,1698,1104,0,0,0,0,0,0,0,68,0,0,0,0,0,"102002,103006,104001,106001","UMP45,Mini14,S686,P92",UMP45:0.0 / Mini14:0.0 / S686:0.0 / P92:0.0,UMP45:0 / Mini14:0 / S686:0 / P92:0,UMP45:0 / Mini14:0 / S686:0 / P92:0,UMP45:0 / Mini14:0 / S686:0 / P92:0,0,0,0.00,,,,,,
6,ČASTLEĞHOST,7,5451829426,ČĞ乄BuffoN'',0,0,0,0,0,0,0,197,0,4m 22s,0m 0s,0,0,0,0,640,0,0,0,0,0,0,0,68,0,0,0,0,0,,,,,,,0,0,0.00,,,,,,
